Row, Timestamp, Series 1, Series 2, Series 3
0,0.049,20,0,0
1,0.061,20,0,0
2,0.071,20,0,0
3,0.081,20,0,0
4,0.091,20,1,0
5,0.101,20,2,0
6,0.111,20,3,0
7,0.121,20,4,0
8,0.131,20,6,0
9,0.141,20,7,0
10,0.151,20,10,18
11,0.161,20,12,18
12,0.171,20,14,18
13,0.181,20,16,18
14,0.191,20,19,35
15,0.201,20,22,35
16,0.211,20,24,35
17,0.221,20,27,40
18,0.231,20,30,40
19,0.241,20,33,46
20,0.251,20,36,46
21,0.261,20,39,46
22,0.271,20,43,47
23,0.281,20,46,47
24,0.291,20,49,51
25,0.301,20,52,51
26,0.311,20,56,51
27,0.321,20,59,51
28,0.331,20,63,51
29,0.341,20,67,54
30,0.351,20,70,54
31,0.361,20,74,54
32,0.371,20,77,54
33,0.381,20,81,56
34,0.391,20,84,56
35,0.401,20,88,56
36,0.411,20,92,55
37,0.421,20,95,55
38,0.431,20,99,58
39,0.441,20,103,58
40,0.451,20,107,56
41,0.461,20,111,56
42,0.471,20,114,59
43,0.481,20,118,59
44,0.491,20,122,57
45,0.501,20,126,57
46,0.511,20,130,60
47,0.521,20,134,60
48,0.531,20,137,59
49,0.541,20,142,59
50,0.551,20,145,61
51,0.561,20,149,61
52,0.571,20,153,60
53,0.581,20,157,60
54,0.591,20,161,62
55,0.601,20,165,62
56,0.611,20,169,60
57,0.621,20,173,60
58,0.631,20,177,63
59,0.641,20,181,63
60,0.651,20,185,61
61,0.661,20,189,61
62,0.671,20,194,63
63,0.681,20,198,63
64,0.691,20,202,61
65,0.701,20,206,61
66,0.711,20,210,63
67,0.721,20,214,63
68,0.731,20,218,61
69,0.741,20,222,61
70,0.751,20,226,63
71,0.761,20,230,63
72,0.771,20,234,60
73,0.781,20,238,60
74,0.791,20,242,63
75,0.801,20,246,63
76,0.811,20,250,61
77,0.821,20,254,61
78,0.831,20,258,62
79,0.841,20,262,62
80,0.851,20,266,60
81,0.861,20,270,60
