Row, Timestamp, Series 1, Series 2, Series 3
0   , 0.329, 50     , 0      , 0      
1   , 0.340, 50     , 0      , 0      
2   , 0.351, 50     , 0      , 0      
3   , 0.361, 50     , 1      , 0      
4   , 0.371, 50     , 3      , 0      
5   , 0.381, 50     , 7      , 0      
6   , 0.391, 50     , 12     , 60     
7   , 0.401, 50     , 16     , 60     
8   , 0.411, 50     , 22     , 82     
9   , 0.421, 50     , 28     , 90     
10  , 0.431, 50     , 35     , 102    
11  , 0.441, 50     , 42     , 102    
12  , 0.451, 50     , 49     , 105    
13  , 0.461, 50     , 56     , 114    
14  , 0.471, 50     , 65     , 115    
15  , 0.481, 50     , 73     , 122    
16  , 0.491, 50     , 80     , 122    
17  , 0.501, 50     , 88     , 127    
18  , 0.511, 50     , 97     , 126    
19  , 0.521, 50     , 106    , 132    
20  , 0.531, 50     , 114    , 129    
21  , 0.541, 50     , 123    , 131    
22  , 0.551, 50     , 132    , 137    
23  , 0.561, 50     , 140    , 133    
24  , 0.571, 50     , 150    , 139    
25  , 0.581, 50     , 158    , 135    
26  , 0.591, 50     , 167    , 140    
27  , 0.601, 50     , 177    , 136    
28  , 0.611, 50     , 185    , 141    
29  , 0.621, 50     , 195    , 142    
30  , 0.631, 50     , 204    , 139    
31  , 0.641, 50     , 213    , 143    
32  , 0.651, 50     , 223    , 139    
33  , 0.661, 50     , 232    , 144    
34  , 0.671, 50     , 241    , 140    
35  , 0.681, 50     , 250    , 146    
36  , 0.691, 50     , 260    , 147    
37  , 0.701, 50     , 269    , 141    
38  , 0.711, 50     , 278    , 146    
39  , 0.721, 50     , 288    , 141    
40  , 0.731, 50     , 297    , 147    
41  , 0.741, 50     , 307    , 147    
42  , 0.751, 50     , 316    , 142    
43  , 0.761, 50     , 325    , 147    
44  , 0.771, 50     , 334    , 142    
45  , 0.781, 50     , 344    , 147    
46  , 0.791, 50     , 353    , 142    
47  , 0.801, 50     , 364    , 142    
48  , 0.811, 50     , 373    , 148    
49  , 0.821, 50     , 382    , 143    
50  , 0.831, 50     , 392    , 148    
51  , 0.841, 50     , 401    , 142    
52  , 0.851, 50     , 410    , 149    
53  , 0.861, 50     , 419    , 149    
54  , 0.871, 50     , 429    , 143    
55  , 0.881, 50     , 438    , 148    
56  , 0.891, 50     , 448    , 144    
57  , 0.901, 50     , 458    , 149    
58  , 0.911, 50     , 467    , 148    
59  , 0.921, 50     , 477    , 144    
60  , 0.931, 50     , 486    , 149    
61  , 0.941, 50     , 496    , 143    
62  , 0.951, 50     , 505    , 148    
63  , 0.961, 50     , 515    , 149    
64  , 0.971, 50     , 524    , 143    
65  , 0.981, 50     , 534    , 149    
66  , 0.991, 50     , 544    , 144    
67  , 1.001, 50     , 553    , 148    
68  , 1.011, 50     , 563    , 150    
69  , 1.021, 50     , 572    , 143    
70  , 1.031, 50     , 581    , 149    
71  , 1.041, 50     , 590    , 143    
72  , 1.051, 50     , 601    , 149    
73  , 1.061, 50     , 610    , 144    
74  , 1.071, 50     , 619    , 144    
75  , 1.081, 50     , 629    , 149    
76  , 1.091, 50     , 638    , 144    
77  , 1.101, 50     , 648    , 149    
78  , 1.111, 50     , 658    , 144    
79  , 1.121, 50     , 667    , 144    
80  , 1.131, 50     , 676    , 149    
81  , 1.141, 50     , 686    , 143    
82  , 1.151, 50     , 696    , 150    
83  , 1.161, 50     , 705    , 144    
84  , 1.171, 50     , 715    , 143    
85  , 1.181, 50     , 724    , 149    
86  , 1.191, 0      , 734    , 144    
87  , 1.201, 0      , 744    , 149    
88  , 1.211, 0      , 753    , 144    
89  , 1.221, 0      , 763    , 143    
90  , 1.231, 0      , 772    , 147    
91  , 1.241, 0      , 781    , 137    
92  , 1.251, 0      , 789    , 140    
93  , 1.261, 0      , 798    , 131    
94  , 1.271, 0      , 806    , 133    
95  , 1.281, 0      , 814    , 125    
96  , 1.291, 0      , 823    , 126    
97  , 1.301, 0      , 830    , 119    
98  , 1.311, 0      , 838    , 119    
99  , 1.321, 0      , 846    , 111    
100 , 1.331, 0      , 853    , 113    
101 , 1.341, 0      , 860    , 105    
102 , 1.351, 0      , 866    , 105    
103 , 1.361, 0      , 873    , 104    
104 , 1.371, 0      , 879    , 98     
105 , 1.381, 0      , 885    , 97     
106 , 1.391, 0      , 891    , 90     
107 , 1.401, 0      , 896    , 90     
108 , 1.411, 0      , 902    , 88     
109 , 1.421, 0      , 907    , 82     
110 , 1.431, 0      , 912    , 82     
111 , 1.441, 0      , 918    , 80     
112 , 1.451, 0      , 922    , 77     
113 , 1.461, 0      , 926    , 73     
114 , 1.471, 0      , 931    , 70     
115 , 1.481, 0      , 936    , 70     
116 , 1.491, 0      , 940    , 63     
117 , 1.501, 0      , 944    , 63     
118 , 1.511, 0      , 947    , 60     
119 , 1.521, 0      , 951    , 60     
120 , 1.531, 0      , 954    , 55     
121 , 1.541, 0      , 957    , 52     
122 , 1.551, 0      , 961    , 52     
123 , 1.561, 0      , 963    , 48     
124 , 1.571, 0      , 966    , 48     
125 , 1.581, 0      , 969    , 48     
126 , 1.591, 0      , 971    , 39     
127 , 1.601, 0      , 973    , 39     
128 , 1.611, 0      , 976    , 39     
129 , 1.621, 0      , 977    , 38     
130 , 1.631, 0      , 979    , 33     
131 , 1.641, 0      , 981    , 33     
132 , 1.651, 0      , 983    , 33     
133 , 1.661, 0      , 984    , 33     
134 , 1.671, 0      , 985    , 27     
135 , 1.681, 0      , 986    , 22     
136 , 1.691, 0      , 988    , 22     
137 , 1.701, 0      , 989    , 22     
138 , 1.711, 0      , 989    , 22     
139 , 1.721, 0      , 990    , 22     
140 , 1.731, 0      , 990    , 22     
141 , 1.741, 0      , 991    , 20     
142 , 1.751, 0      , 991    , 17     
143 , 1.761, 0      , 991    , 15     
144 , 1.771, 0      , 991    , 13     
145 , 1.781, 0      , 991    , 12     
146 , 1.791, 0      , 991    , 11     
147 , 1.801, 0      , 991    , 10     
148 , 1.811, 0      , 991    , 9      
149 , 1.821, 0      , 991    , 8      
150 , 1.831, 0      , 991    , 8      
151 , 1.841, 0      , 991    , 7      
152 , 1.851, 0      , 991    , 7      
153 , 1.861, 0      , 991    , 6      
154 , 1.871, 0      , 991    , 6      
155 , 1.881, 0      , 991    , 6      
156 , 1.891, 0      , 991    , 5      
157 , 1.901, 0      , 991    , 5      
158 , 1.911, 0      , 991    , 5      
159 , 1.921, 0      , 991    , 5      
160 , 1.931, 0      , 991    , 4      
161 , 1.941, 0      , 991    , 4      
162 , 1.951, 0      , 991    , 4      
163 , 1.961, 0      , 991    , 4      
164 , 1.971, 0      , 991    , 4      
165 , 1.981, 0      , 991    , 4      
166 , 1.991, 0      , 991    , 3      
167 , 2.001, 0      , 991    , 3      
168 , 2.011, 0      , 991    , 3      
169 , 2.021, 0      , 991    , 3      
170 , 2.031, 0      , 991    , 3      
171 , 2.041, 0      , 991    , 3      
172 , 2.051, 0      , 991    , 3      
173 , 2.061, 0      , 991    , 3      
174 , 2.071, 0      , 991    , 3      
175 , 2.081, 0      , 991    , 3      
176 , 2.091, 0      , 991    , 3      
177 , 2.101, 0      , 991    , 2      
178 , 2.111, 0      , 991    , 2      
179 , 2.121, 0      , 991    , 2      
180 , 2.131, 0      , 991    , 2      
181 , 2.141, 0      , 991    , 2      
182 , 2.151, 0      , 991    , 2      
183 , 2.161, 0      , 991    , 2      
184 , 2.171, 0      , 991    , 2      
185 , 2.181, 0      , 991    , 2      
186 , 2.191, 0      , 991    , 2      
187 , 2.201, 0      , 991    , 2      
188 , 2.211, 0      , 991    , 2      
189 , 2.221, 0      , 991    , 2      
190 , 2.231, 0      , 991    , 2      
191 , 2.241, 0      , 991    , 2      
192 , 2.251, 0      , 991    , 2      
193 , 2.261, 0      , 991    , 2      
194 , 2.271, 0      , 991    , 2      
195 , 2.281, 0      , 991    , 2      
196 , 2.291, 0      , 991    , 2      
197 , 2.301, 0      , 991    , 1      
198 , 2.311, 0      , 991    , 1      
199 , 2.321, 0      , 991    , 1      
200 , 2.331, 0      , 991    , 1      
201 , 2.341, 0      , 991    , 1      
202 , 2.351, 0      , 991    , 1      
203 , 2.361, 0      , 991    , 1      
204 , 2.371, 0      , 991    , 1      
205 , 2.381, 0      , 991    , 1      
206 , 2.391, 0      , 991    , 1      
207 , 2.401, 0      , 991    , 1      
208 , 2.411, 0      , 991    , 1      
209 , 2.421, 0      , 991    , 1      
210 , 2.431, 0      , 991    , 1      
211 , 2.441, 0      , 991    , 1      
212 , 2.451, 0      , 991    , 1      
213 , 2.461, 0      , 991    , 1      
214 , 2.471, 0      , 991    , 1      
215 , 2.481, 0      , 991    , 1      
216 , 2.491, 0      , 991    , 1      
217 , 2.501, 0      , 991    , 1      
218 , 2.511, 0      , 991    , 1      
219 , 2.521, 0      , 991    , 1      
220 , 2.531, 0      , 991    , 1      
221 , 2.541, 0      , 991    , 1      
